,Date,Ticker,Dividend,Stock Price,Dividend Yield (%)
9453,2015-01-21 00:00:00-05:00,PPT,0.026,,
9454,2015-01-21 00:00:00-05:00,SVC,0.486594,,
9455,2015-01-21 00:00:00-05:00,FSP,0.19,,
9456,2015-01-21 00:00:00-05:00,WIT,0.02025,,
9457,2015-01-21 00:00:00-05:00,HIX,0.069,,
9458,2015-01-23 00:00:00-05:00,OCC,0.02,,
9459,2015-01-28 00:00:00-05:00,LCUT,0.037,,
9460,2015-01-28 00:00:00-05:00,PVL,0.007,,
9461,2015-01-28 00:00:00-05:00,KFFB,0.1,,
9462,2015-01-28 00:00:00-05:00,PSEC,0.111,,
9463,2015-01-28 00:00:00-05:00,VOC,0.1,,
9464,2015-01-28 00:00:00-05:00,BTE,0.081,,
9465,2015-01-28 00:00:00-05:00,AVAL,0.04,,
9466,2015-01-29 00:00:00-05:00,ASRV,0.01,,
9467,2015-01-30 00:00:00-05:00,PETS,0.17,,
9468,2015-02-03 00:00:00-05:00,BBD,0.004591,,
9469,2015-02-03 00:00:00-05:00,BBDO,0.004861,,
9470,2015-02-03 00:00:00-05:00,DLNG,0.422,,
9471,2015-02-04 00:00:00-05:00,NGL,0.618,,
9472,2015-02-04 00:00:00-05:00,MCHX,0.02,,
9473,2015-02-04 00:00:00-05:00,MMLP,0.813,,
9474,2015-02-05 00:00:00-05:00,GROW,0.005,,
9475,2015-02-06 00:00:00-05:00,DHF,0.029,,
9476,2015-02-06 00:00:00-05:00,RES,0.105,,
9477,2015-02-06 00:00:00-05:00,CIK,0.022,,
9478,2015-02-09 00:00:00-05:00,GORO,0.01,,
9479,2015-02-10 00:00:00-05:00,PHK,0.122,,
9480,2015-02-10 00:00:00-05:00,BBD,0.033287,,
9481,2015-02-10 00:00:00-05:00,GGN,0.07,,
9482,2015-02-10 00:00:00-05:00,ARTW,0.05,,
9483,2015-02-11 00:00:00-05:00,INN,0.117,,
9484,2015-02-11 00:00:00-05:00,VVR,0.028,,
9485,2015-02-11 00:00:00-05:00,EDF,0.18,,
9486,2015-02-11 00:00:00-05:00,NRT,0.35,,
9487,2015-02-11 00:00:00-05:00,STRR,2.5,,
9488,2015-02-12 00:00:00-05:00,LFT,0.125,,
9489,2015-02-12 00:00:00-05:00,NRO,0.028626,,
9490,2015-02-13 00:00:00-05:00,DHY,0.024,,
9491,2015-02-17 00:00:00-05:00,CMU,0.023,,
9492,2015-02-17 00:00:00-05:00,PHX,0.04,,
9493,2015-02-17 00:00:00-05:00,MGF,0.037,,
9494,2015-02-17 00:00:00-05:00,CIF,0.017,,
9495,2015-02-17 00:00:00-05:00,MIN,0.038,,
9496,2015-02-17 00:00:00-05:00,MMT,0.032,,
9497,2015-02-17 00:00:00-05:00,CXE,0.026,,
9498,2015-02-18 00:00:00-05:00,TACT,0.08,,
9499,2015-02-18 00:00:00-05:00,RIG,0.75,,
9500,2015-02-18 00:00:00-05:00,AWP,0.05,,
9501,2015-02-18 00:00:00-05:00,NNBR,0.07,,
9502,2015-02-18 00:00:00-05:00,HIO,0.035,,
9503,2015-02-18 00:00:00-05:00,HIX,0.069,,
9504,2015-02-20 00:00:00-05:00,FGB,0.173,,
9505,2015-02-20 00:00:00-05:00,PIM,0.026,,
9506,2015-02-20 00:00:00-05:00,PPT,0.026,,
9507,2015-02-23 00:00:00-05:00,DSWL,0.035,,
9508,2015-02-24 00:00:00-05:00,GSM,0.08,,
9509,2015-02-25 00:00:00-05:00,AVAL,0.041,,
9510,2015-02-25 00:00:00-05:00,OXBR,0.12,,
9511,2015-02-25 00:00:00-05:00,BTE,0.08,,
9512,2015-02-25 00:00:00-05:00,PSEC,0.083,,
9513,2015-02-25 00:00:00-05:00,MARPS,0.31,,
9514,2015-02-25 00:00:00-05:00,RMCF,0.12,,
9515,2015-02-25 00:00:00-05:00,PVL,0.016,,
9516,2015-02-26 00:00:00-05:00,ACTG,0.125,,
9517,2015-02-26 00:00:00-05:00,BGFV,0.1,,
9518,2015-02-26 00:00:00-05:00,HHS,0.85,,
9519,2015-02-26 00:00:00-05:00,FF,0.06,,
9520,2015-03-02 00:00:00-05:00,ABEV,0.031,,
9521,2015-03-04 00:00:00-05:00,LUMN,0.54,,
9522,2015-03-05 00:00:00-05:00,CATO,0.3,,
9523,2015-03-05 00:00:00-05:00,GROW,0.005,,
9524,2015-03-05 00:00:00-05:00,AMC,2.0,,
9525,2015-03-05 00:00:00-05:00,UGP,0.124,,
9526,2015-03-05 00:00:00-05:00,HIHO,0.1,,
9527,2015-03-06 00:00:00-05:00,CIK,0.022,,
9528,2015-03-06 00:00:00-05:00,SB,0.02,,
9529,2015-03-09 00:00:00-04:00,PSHG,2222.64,,
9530,2015-03-09 00:00:00-04:00,GCI,0.3,,
9531,2015-03-09 00:00:00-04:00,PGRE,0.039,,
9532,2015-03-09 00:00:00-04:00,GORO,0.01,,
9533,2015-03-10 00:00:00-04:00,EVC,0.025,,
9534,2015-03-10 00:00:00-04:00,MNDO,0.3,,
9535,2015-03-10 00:00:00-04:00,PGRE,0.095,,
9536,2015-03-10 00:00:00-04:00,PHK,0.122,,
9537,2015-03-11 00:00:00-04:00,DHF,0.029,,
9538,2015-03-11 00:00:00-04:00,VVR,0.028,,
9539,2015-03-11 00:00:00-04:00,SOHO,0.07,,
9540,2015-03-11 00:00:00-04:00,EDUC,0.04,,
9541,2015-03-11 00:00:00-04:00,CRWS,0.08,,
9542,2015-03-11 00:00:00-04:00,HL,0.003,,
9543,2015-03-12 00:00:00-04:00,EDF,0.18,,
9544,2015-03-12 00:00:00-04:00,LFT,0.125,,
9545,2015-03-12 00:00:00-04:00,EPM,0.05,,
9546,2015-03-12 00:00:00-04:00,SABR,0.09,,
9547,2015-03-12 00:00:00-04:00,JRVR,0.16,,
9548,2015-03-12 00:00:00-04:00,NRO,0.028626,,
9549,2015-03-12 00:00:00-04:00,SUNE,480.0,,
9550,2015-03-13 00:00:00-04:00,OXLC,0.6,,
9551,2015-03-13 00:00:00-04:00,GCV,0.12,,
9552,2015-03-13 00:00:00-04:00,GGT,0.216749,,
9553,2015-03-13 00:00:00-04:00,RYAM,0.07,,
9554,2015-03-13 00:00:00-04:00,GGN,0.07,,
9555,2015-03-13 00:00:00-04:00,NHTC,0.02,,
9556,2015-03-13 00:00:00-04:00,DHY,0.024,,
9557,2015-03-13 00:00:00-04:00,OXSQ,0.27,,
9558,2015-03-16 00:00:00-04:00,ICMB,0.344588,,
9559,2015-03-17 00:00:00-04:00,MIN,0.038,,
9560,2015-03-17 00:00:00-04:00,MMT,0.032,,
9561,2015-03-17 00:00:00-04:00,GGB,0.019048,,
9562,2015-03-17 00:00:00-04:00,CIF,0.017,,
9563,2015-03-17 00:00:00-04:00,CXE,0.026,,
9564,2015-03-17 00:00:00-04:00,CMU,0.023,,
9565,2015-03-17 00:00:00-04:00,MGF,0.036,,
9566,2015-03-18 00:00:00-04:00,XIN,0.5,,
9567,2015-03-18 00:00:00-04:00,HPP,0.125,,
9568,2015-03-18 00:00:00-04:00,DBI,0.2,,
9569,2015-03-18 00:00:00-04:00,HIO,0.035,,
9570,2015-03-18 00:00:00-04:00,HIX,0.069,,
9571,2015-03-18 00:00:00-04:00,SBSW,0.206863,,
9572,2015-03-19 00:00:00-04:00,IAF,0.21,,
9573,2015-03-19 00:00:00-04:00,SID,0.065,,
9574,2015-03-19 00:00:00-04:00,BRBS,0.051111,,
9575,2015-03-20 00:00:00-04:00,AWP,0.05,,
9576,2015-03-20 00:00:00-04:00,NXDT,0.147965,,
9577,2015-03-20 00:00:00-04:00,PIM,0.026,,
9578,2015-03-20 00:00:00-04:00,PPT,0.026,,
9579,2015-03-27 00:00:00-04:00,PVL,0.037,,
9580,2015-03-27 00:00:00-04:00,OBE,0.063,,
9581,2015-03-27 00:00:00-04:00,WHLRP,0.563,,
9582,2015-03-27 00:00:00-04:00,BHR,0.049505,,
9583,2015-03-27 00:00:00-04:00,BTE,0.08,,
9584,2015-03-27 00:00:00-04:00,CHMI,0.51,,
