Ticker,Name,Sector,Asset Class
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,Equity
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market
PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,Equity
MCK,MCKESSON CORP,Health Care,Equity
COF,CAPITAL ONE FINANCIAL CORP,Financials,Equity
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,Equity
AON,AON PLC CLASS A,Financials,Equity
ITW,ILLINOIS TOOL INC,Industrials,Equity
DASH,DOORDASH INC CLASS A,Consumer Discretionary,Equity
CRH,CRH PUBLIC LIMITED PLC,Materials,Equity
USB,US BANCORP,Financials,Equity
EOG,EOG RESOURCES INC,Energy,Equity
MSI,MOTOROLA SOLUTIONS INC,Information Technology,Equity
ZTS,ZOETIS INC CLASS A,Health Care,Equity
TDG,TRANSDIGM GROUP INC,Industrials,Equity
FTNT,FORTINET INC,Information Technology,Equity
CTAS,CINTAS CORP,Industrials,Equity
EMR,EMERSON ELECTRIC,Industrials,Equity
REGN,REGENERON PHARMACEUTICALS INC,Health Care,Equity
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,Equity
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,Equity
CL,COLGATE-PALMOLIVE,Consumer Staples,Equity
WMB,WILLIAMS INC,Energy,Equity
ECL,ECOLAB INC,Materials,Equity
GD,GENERAL DYNAMICS CORP,Industrials,Equity
ADSK,AUTODESK INC,Information Technology,Equity
BDX,BECTON DICKINSON,Health Care,Equity
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,Equity
BK,BANK OF NEW YORK MELLON CORP,Financials,Equity
CSX,CSX CORP,Industrials,Equity
HLT,HILTON WORLDWIDE HOLDINGS INC,Consumer Discretionary,Equity
TFC,TRUIST FINANCIAL CORP,Financials,Equity
RCL,ROYAL CARIBBEAN GROUP LTD,Consumer Discretionary,Equity
ROP,ROPER TECHNOLOGIES INC,Information Technology,Equity
FDX,FEDEX CORP,Industrials,Equity
NOC,NORTHROP GRUMMAN CORP,Industrials,Equity
SPG,SIMON PROPERTY GROUP REIT INC,Real Estate,Equity
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,Equity
TGT,TARGET CORP,Consumer Staples,Equity
SNOW,SNOWFLAKE INC CLASS A,Information Technology,Equity
SLB,SCHLUMBERGER NV,Energy,Equity
AZO,AUTOZONE INC,Consumer Discretionary,Equity
HCA,HCA HEALTHCARE INC,Health Care,Equity
NSC,NORFOLK SOUTHERN CORP,Industrials,Equity
AFL,AFLAC INC,Financials,Equity
OKE,ONEOK INC,Energy,Equity
VST,VISTRA CORP,Utilities,Equity
FCX,FREEPORT MCMORAN INC,Materials,Equity
MSTR,MICROSTRATEGY INC CLASS A,Information Technology,Equity
COIN,COINBASE GLOBAL INC CLASS A,Financials,Equity
WDAY,WORKDAY INC CLASS A,Information Technology,Equity
TRV,TRAVELERS COMPANIES INC,Financials,Equity
CARR,CARRIER GLOBAL CORP,Industrials,Equity
DLR,DIGITAL REALTY TRUST REIT INC,Real Estate,Equity
PCAR,PACCAR INC,Industrials,Equity
HWM,HOWMET AEROSPACE INC,Industrials,Equity
AEP,AMERICAN ELECTRIC POWER INC,Utilities,Equity
NEM,NEWMONT,Materials,Equity
SRE,SEMPRA,Utilities,Equity
AMP,AMERIPRISE FINANCE INC,Financials,Equity
GM,GENERAL MOTORS,Consumer Discretionary,Equity
PSX,PHILLIPS,Energy,Equity
MPC,MARATHON PETROLEUM CORP,Energy,Equity
CPRT,COPART INC,Industrials,Equity
KMI,KINDER MORGAN INC,Energy,Equity
NET,CLOUDFLARE INC CLASS A,Information Technology,Equity
CMI,CUMMINS INC,Industrials,Equity
TEAM,ATLASSIAN CORP CLASS A,Information Technology,Equity
ALL,ALLSTATE CORP,Financials,Equity
DFS,DISCOVER FINANCIAL SERVICES,Financials,Equity
URI,UNITED RENTALS INC,Industrials,Equity
AXON,AXON ENTERPRISE INC,Industrials,Equity
AIG,AMERICAN INTERNATIONAL GROUP INC,Financials,Equity
MET,METLIFE INC,Financials,Equity
LNG,CHENIERE ENERGY INC,Energy,Equity
O,REALTY INCOME REIT CORP,Real Estate,Equity
RSG,REPUBLIC SERVICES INC,Industrials,Equity
PAYX,PAYCHEX INC,Industrials,Equity
PSA,PUBLIC STORAGE REIT,Real Estate,Equity
XYZ,BLOCK INC CLASS A,Financials,Equity
D,DOMINION ENERGY INC,Utilities,Equity
BKR,BAKER HUGHES CLASS A,Energy,Equity
ROST,ROSS STORES INC,Consumer Discretionary,Equity
EW,EDWARDS LIFESCIENCES CORP,Health Care,Equity
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Information Technology,Equity
TRGP,TARGA RESOURCES CORP,Energy,Equity
CTVA,CORTEVA INC,Materials,Equity
GWW,WW GRAINGER INC,Industrials,Equity
KMB,KIMBERLY CLARK CORP,Consumer Staples,Equity
HOOD,ROBINHOOD MARKETS INC CLASS A,Financials,Equity
MSCI,MSCI INC,Financials,Equity
CBRE,CBRE GROUP INC CLASS A,Real Estate,Equity
NU,NU HOLDINGS LTD CLASS A,Financials,Equity
VLO,VALERO ENERGY CORP,Energy,Equity
KR,KROGER,Consumer Staples,Equity
LULU,LULULEMON ATHLETICA INC,Consumer Discretionary,Equity
EXC,EXELON CORP,Utilities,Equity
FAST,FASTENAL,Industrials,Equity
FICO,FAIR ISAAC CORP,Information Technology,Equity
AME,AMETEK INC,Industrials,Equity
DAL,DELTA AIR LINES INC,Industrials,Equity
GEHC,GE HEALTHCARE TECHNOLOGIES INC,Health Care,Equity
KVUE,KENVUE INC,Consumer Staples,Equity
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,Equity
VRSK,VERISK ANALYTICS INC,Industrials,Equity
YUM,YUM BRANDS INC,Consumer Discretionary,Equity
PWR,QUANTA SERVICES INC,Industrials,Equity
HES,HESS CORP,Energy,Equity
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,Equity
COR,CENCORA INC,Health Care,Equity
GLW,CORNING INC,Information Technology,Equity
PRU,PRUDENTIAL FINANCIAL INC,Financials,Equity
HUBS,HUBSPOT INC,Information Technology,Equity
XEL,XCEL ENERGY INC,Utilities,Equity
DDOG,DATADOG INC CLASS A,Information Technology,Equity
OTIS,OTIS WORLDWIDE CORP,Industrials,Equity
IT,GARTNER INC,Information Technology,Equity
A,AGILENT TECHNOLOGIES INC,Health Care,Equity
VRT,VERTIV HOLDINGS CLASS A,Industrials,Equity
CCI,CROWN CASTLE INC,Real Estate,Equity
DHI,D R HORTON INC,Consumer Discretionary,Equity
FIS,FIDELITY NATIONAL INFORMATION SERV,Financials,Equity
LHX,L3HARRIS TECHNOLOGIES INC,Industrials,Equity
FERG,FERGUSON ENTERPRISES INC,Consumer Discretionary,Equity
F,FORD MOTOR CO,Consumer Discretionary,Equity
IDXX,IDEXX LABORATORIES INC,Health Care,Equity
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Communication,Equity
TTD,TRADE DESK INC CLASS A,Communication,Equity
VMC,VULCAN MATERIALS,Materials,Equity
KDP,KEURIG DR PEPPER INC,Consumer Staples,Equity
MNST,MONSTER BEVERAGE CORP,Consumer Staples,Equity
SYY,SYSCO CORP,Consumer Staples,Equity
ETR,ENTERGY CORP,Utilities,Equity
RBLX,ROBLOX CORP CLASS A,Communication,Equity
IQV,IQVIA HOLDINGS INC,Health Care,Equity
DXCM,DEXCOM INC,Health Care,Equity
DD,DUPONT DE NEMOURS INC,Materials,Equity
EA,ELECTRONIC ARTS INC,Communication,Equity
ARES,ARES MANAGEMENT CORP CLASS A,Financials,Equity
IR,INGERSOLL RAND INC,Industrials,Equity
VEEV,VEEVA SYSTEMS INC CLASS A,Health Care,Equity
UAL,UNITED AIRLINES HOLDINGS INC,Industrials,Equity
RMD,RESMED INC,Health Care,Equity
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Communication,Equity
ROK,ROCKWELL AUTOMATION INC,Industrials,Equity
EBAY,EBAY INC,Consumer Discretionary,Equity
NDAQ,NASDAQ INC,Financials,Equity
MTB,M&T BANK CORP,Financials,Equity
ALNY,ALNYLAM PHARMACEUTICALS INC,Health Care,Equity
ED,CONSOLIDATED EDISON INC,Utilities,Equity
NUE,NUCOR CORP,Materials,Equity
GRMN,GARMIN LTD,Consumer Discretionary,Equity
HPQ,HP INC,Information Technology,Equity
GIS,GENERAL MILLS INC,Consumer Staples,Equity
OXY,OCCIDENTAL PETROLEUM CORP,Energy,Equity
HIG,HARTFORD FINANCIAL SERVICES GROUP,Financials,Equity
WTW,WILLIS TOWERS WATSON PLC,Financials,Equity
PCG,PG&E CORP,Utilities,Equity
WEC,WEC ENERGY GROUP INC,Utilities,Equity
EXR,EXTRA SPACE STORAGE REIT INC,Real Estate,Equity
MLM,MARTIN MARIETTA MATERIALS INC,Materials,Equity
KEYS,KEYSIGHT TECHNOLOGIES INC,Information Technology,Equity
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,Equity
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIE,Industrials,Equity
VICI,VICI PPTYS INC,Real Estate,Equity
ACGL,ARCH CAPITAL GROUP LTD,Financials,Equity
USD,USD CASH,Cash and/or Derivatives,Cash
EQT,EQT CORP,Energy,Equity
XYL,XYLEM INC,Industrials,Equity
DELL,DELL TECHNOLOGIES INC CLASS C,Information Technology,Equity
CVNA,CARVANA CLASS A,Consumer Discretionary,Equity
AVB,AVALONBAY COMMUNITIES REIT INC,Real Estate,Equity
TSCO,TRACTOR SUPPLY,Consumer Discretionary,Equity
CAH,CARDINAL HEALTH INC,Health Care,Equity
EFX,EQUIFAX INC,Industrials,Equity
HUM,HUMANA INC,Health Care,Equity
FITB,FIFTH THIRD BANCORP,Financials,Equity
CSGP,COSTAR GROUP INC,Real Estate,Equity
FANG,DIAMONDBACK ENERGY INC,Energy,Equity
ANSS,ANSYS INC,Information Technology,Equity
LEN,LENNAR A CORP CLASS A,Consumer Discretionary,Equity
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,Equity
IP,INTERNATIONAL PAPER,Materials,Equity
RJF,RAYMOND JAMES INC,Financials,Equity
CPNG,COUPANG INC CLASS A,Consumer Discretionary,Equity
STT,STATE STREET CORP,Financials,Equity
CNC,CENTENE CORP,Health Care,Equity
FTV,FORTIVE CORP,Industrials,Equity
HPE,HEWLETT PACKARD ENTERPRISE,Information Technology,Equity
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Industrials,Equity
VTR,VENTAS REIT INC,Real Estate,Equity
IRM,IRON MOUNTAIN INC,Real Estate,Equity
SW,SMURFIT WESTROCK PLC,Materials,Equity
LPLA,LPL FINANCIAL HOLDINGS INC,Financials,Equity
DOV,DOVER CORP,Industrials,Equity
PPG,PPG INDUSTRIES INC,Materials,Equity
WSM,WILLIAMS SONOMA INC,Consumer Discretionary,Equity
GPN,GLOBAL PAYMENTS INC,Financials,Equity
DOW,DOW INC,Materials,Equity
TYL,TYLER TECHNOLOGIES INC,Information Technology,Equity
CCL,CARNIVAL CORP,Consumer Discretionary,Equity
EQR,EQUITY RESIDENTIAL REIT,Real Estate,Equity
MTD,METTLER TOLEDO INC,Health Care,Equity
DTE,DTE ENERGY,Utilities,Equity
BRO,BROWN & BROWN INC,Financials,Equity
AEE,AMEREN CORP,Utilities,Equity
STZ,CONSTELLATION BRANDS INC CLASS A,Consumer Staples,Equity
GDDY,GODADDY INC CLASS A,Information Technology,Equity
TPL,TEXAS PACIFIC LAND CORP,Energy,Equity
CPAY,CORPAY INC,Financials,Equity
CHD,CHURCH AND DWIGHT INC,Consumer Staples,Equity
KHC,KRAFT HEINZ,Consumer Staples,Equity
SYF,SYNCHRONY FINANCIAL,Financials,Equity
EXPE,EXPEDIA GROUP INC,Consumer Discretionary,Equity
FCNCA,FIRST CITIZENS BANCSHARES INC CLAS,Financials,Equity
CDW,CDW CORP,Information Technology,Equity
WBD,WARNER BROS. DISCOVERY INC SERIES,Communication,Equity
PPL,PPL CORP,Utilities,Equity
NTAP,NETAPP INC,Information Technology,Equity
IBKR,INTERACTIVE BROKERS GROUP INC CLAS,Financials,Equity
LYV,LIVE NATION ENTERTAINMENT INC,Communication,Equity
AWK,AMERICAN WATER WORKS INC,Utilities,Equity
EXE,EXPAND ENERGY CORP,Energy,Equity
DKNG,DRAFTKINGS INC CLASS A,Consumer Discretionary,Equity
HBAN,HUNTINGTON BANCSHARES INC,Financials,Equity
VLTO,VERALTO CORP,Industrials,Equity
MKL,MARKEL GROUP INC,Financials,Equity
SMCI,SUPER MICRO COMPUTER INC,Information Technology,Equity
WDC,WESTERN DIGITAL CORP,Information Technology,Equity
DECK,DECKERS OUTDOOR CORP,Consumer Discretionary,Equity
TROW,T ROWE PRICE GROUP INC,Financials,Equity
PINS,PINTEREST INC CLASS A,Communication,Equity
HAL,HALLIBURTON,Energy,Equity
FE,FIRSTENERGY CORP,Utilities,Equity
HSY,HERSHEY FOODS,Consumer Staples,Equity
DRI,DARDEN RESTAURANTS INC,Consumer Discretionary,Equity
ATO,ATMOS ENERGY CORP,Utilities,Equity
TDY,TELEDYNE TECHNOLOGIES INC,Information Technology,Equity
ZM,ZOOM COMMUNICATIONS INC CLASS A,Information Technology,Equity
NRG,NRG ENERGY INC,Utilities,Equity
RF,REGIONS FINANCIAL CORP,Financials,Equity
ON,ON SEMICONDUCTOR CORP,Information Technology,Equity
SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Real Estate,Equity
PHM,PULTEGROUP INC,Consumer Discretionary,Equity
ES,EVERSOURCE ENERGY,Utilities,Equity
ADM,ARCHER DANIELS MIDLAND,Consumer Staples,Equity
NTRS,NORTHERN TRUST CORP,Financials,Equity
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Materials,Equity
WAT,WATERS CORP,Health Care,Equity
DVN,DEVON ENERGY CORP,Energy,Equity
STE,STERIS,Health Care,Equity
K,KELLANOVA,Consumer Staples,Equity
CNP,CENTERPOINT ENERGY INC,Utilities,Equity
WY,WEYERHAEUSER REIT,Real Estate,Equity
CBOE,CBOE GLOBAL MARKETS INC,Financials,Equity
NVR,NVR INC,Consumer Discretionary,Equity
CINF,CINCINNATI FINANCIAL CORP,Financials,Equity
HUBB,HUBBELL INC,Industrials,Equity
AFRM,AFFIRM HOLDINGS INC CLASS A,Financials,Equity
MDB,MONGODB INC CLASS A,Information Technology,Equity
PSTG,PURE STORAGE INC CLASS A,Information Technology,Equity
CFG,CITIZENS FINANCIAL GROUP INC,Financials,Equity
FWONK,LIBERTY MEDIA FORMULA ONE CORP SER,Communication,Equity
LH,LABCORP HOLDINGS INC,Health Care,Equity
CMS,CMS ENERGY CORP,Utilities,Equity
TPR,TAPESTRY INC,Consumer Discretionary,Equity
CTRA,COTERRA ENERGY INC,Energy,Equity
PTC,PTC INC,Information Technology,Equity
STLD,STEEL DYNAMICS INC,Materials,Equity
BIIB,BIOGEN INC,Health Care,Equity
NTRA,NATERA INC,Health Care,Equity
LYB,LYONDELLBASELL INDUSTRIES NV CLASS,Materials,Equity
ZBH,ZIMMER BIOMET HOLDINGS INC,Health Care,Equity
ZS,ZSCALER INC,Information Technology,Equity
EME,EMCOR GROUP INC,Industrials,Equity
LII,LENNOX INTERNATIONAL INC,Industrials,Equity
PODD,INSULET CORP,Health Care,Equity
PFG,PRINCIPAL FINANCIAL GROUP INC,Financials,Equity
BBY,BEST BUY INC,Consumer Discretionary,Equity
MKC,MCCORMICK & CO NON-VOTING INC,Consumer Staples,Equity
VRSN,VERISIGN INC,Information Technology,Equity
TRU,TRANSUNION,Industrials,Equity
TWLO,TWILIO INC CLASS A,Information Technology,Equity
INVH,INVITATION HOMES INC,Real Estate,Equity
EIX,EDISON INTERNATIONAL,Utilities,Equity
SSNC,SS AND C TECHNOLOGIES HOLDINGS INC,Industrials,Equity
JBL,JABIL INC,Information Technology,Equity
PKG,PACKAGING CORP OF AMERICA,Materials,Equity
DGX,QUEST DIAGNOSTICS INC,Health Care,Equity
NI,NISOURCE INC,Utilities,Equity
ESS,ESSEX PROPERTY TRUST REIT INC,Real Estate,Equity
MAA,MID AMERICA APARTMENT COMMUNITIES,Real Estate,Equity
TOST,TOAST INC CLASS A,Financials,Equity
CLX,CLOROX,Consumer Staples,Equity
FFIV,F5 INC,Information Technology,Equity
EQH,EQUITABLE HOLDINGS INC,Financials,Equity
LUV,SOUTHWEST AIRLINES,Industrials,Equity
DT,DYNATRACE INC,Information Technology,Equity
TRMB,TRIMBLE INC,Information Technology,Equity
DOCU,DOCUSIGN INC,Information Technology,Equity
LDOS,LEIDOS HOLDINGS INC,Industrials,Equity
WRB,WR BERKLEY CORP,Financials,Equity
TER,TERADYNE INC,Information Technology,Equity
RBA,RB GLOBAL INC,Industrials,Equity
BLDR,BUILDERS FIRSTSOURCE INC,Industrials,Equity
NTNX,NUTANIX INC CLASS A,Information Technology,Equity
SNA,SNAP ON INC,Industrials,Equity
GPC,GENUINE PARTS,Consumer Discretionary,Equity
GWRE,GUIDEWIRE SOFTWARE INC,Information Technology,Equity
ULTA,ULTA BEAUTY INC,Consumer Discretionary,Equity
FDS,FACTSET RESEARCH SYSTEMS INC,Financials,Equity
MAS,MASCO CORP,Industrials,Equity
SOFI,SOFI TECHNOLOGIES INC,Financials,Equity
FSLR,FIRST SOLAR INC,Information Technology,Equity
COO,COOPER INC,Health Care,Equity
WSO,WATSCO INC,Industrials,Equity
DPZ,DOMINOS PIZZA INC,Consumer Discretionary,Equity
ARE,ALEXANDRIA REAL ESTATE EQUITIES RE,Real Estate,Equity
CSL,CARLISLE COMPANIES INC,Industrials,Equity
XPO,XPO INC,Industrials,Equity
USFD,US FOODS HOLDING CORP,Consumer Staples,Equity
KEY,KEYCORP,Financials,Equity
TSN,TYSON FOODS INC CLASS A,Consumer Staples,Equity
ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,Information Technology,Equity
J,JACOBS SOLUTIONS INC,Industrials,Equity
UTHR,UNITED THERAPEUTICS CORP,Health Care,Equity
PNR,PENTAIR,Industrials,Equity
ENTG,ENTEGRIS INC,Information Technology,Equity
RS,RELIANCE STEEL & ALUMINUM,Materials,Equity
ILMN,ILLUMINA INC,Health Care,Equity
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Industrials,Equity
CASY,CASEYS GENERAL STORES INC,Consumer Staples,Equity
DG,DOLLAR GENERAL CORP,Consumer Staples,Equity
OMC,OMNICOM GROUP INC,Communication,Equity
EL,ESTEE LAUDER INC CLASS A,Consumer Staples,Equity
MOH,MOLINA HEALTHCARE INC,Health Care,Equity
DUOL,DUOLINGO INC CLASS A,Consumer Discretionary,Equity
APTV,APTIV PLC,Other,Equity
LNT,ALLIANT ENERGY CORP,Utilities,Equity
BAX,BAXTER INTERNATIONAL INC,Health Care,Equity
RPM,RPM INTERNATIONAL INC,Materials,Equity
WST,WEST PHARMACEUTICAL SERVICES INC,Health Care,Equity
BURL,BURLINGTON STORES INC,Consumer Discretionary,Equity
ALGN,ALIGN TECHNOLOGY INC,Health Care,Equity
OC,OWENS CORNING,Industrials,Equity
OKTA,OKTA INC CLASS A,Information Technology,Equity
SUI,SUN COMMUNITIES REIT INC,Real Estate,Equity
LVS,LAS VEGAS SANDS CORP,Consumer Discretionary,Equity
FNF,FIDELITY NATIONAL FINANCIAL INC,Financials,Equity
BAH,BOOZ ALLEN HAMILTON HOLDING CORP C,Industrials,Equity
GEN,GEN DIGITAL INC,Information Technology,Equity
AKAM,AKAMAI TECHNOLOGIES INC,Information Technology,Equity
IEX,IDEX CORP,Industrials,Equity
EVRG,EVERGY INC,Utilities,Equity
L,LOEWS CORP,Financials,Equity
TW,TRADEWEB MARKETS INC CLASS A,Financials,Equity
EPAM,EPAM SYSTEMS INC,Information Technology,Equity
BALL,BALL CORP,Materials,Equity
AMCR,AMCOR PLC,Materials,Equity
AVY,AVERY DENNISON CORP,Materials,Equity
HOLX,HOLOGIC INC,Health Care,Equity
DLTR,DOLLAR TREE INC,Consumer Staples,Equity
KIM,KIMCO REALTY REIT CORP,Real Estate,Equity
HEIA,HEICO CORP CLASS A,Industrials,Equity
EG,EVEREST GROUP LTD,Financials,Equity
CF,CF INDUSTRIES HOLDINGS INC,Materials,Equity
GGG,GRACO INC,Industrials,Equity
ROL,ROLLINS INC,Industrials,Equity
UDR,UDR REIT INC,Real Estate,Equity
BJ,BJS WHOLESALE CLUB HOLDINGS INC,Consumer Staples,Equity
KMX,CARMAX INC,Consumer Discretionary,Equity
JBHT,JB HUNT TRANSPORT SERVICES INC,Industrials,Equity
RVTY,REVVITY INC,Health Care,Equity
