,Symbol,Security Name,Price
271,CAMP,CAMP4 Therapeutics Corporation - Common Stock,2.299999952316284
272,CAN,Canaan Inc. - American Depositary Shares,0.7929999828338623
273,CAPNR,Cayson Acquisition Corp - Right,0.15000000596046448
274,CAPS,Capstone Holding Corp. - Common Stock,2.450000047683716
275,CAPT,Captivision Inc. - Ordinary Shares,0.46799999475479126
276,CARM,"Carisma Therapeutics, Inc. - Common Stock",0.16599999368190765
277,CARV,"Carver Bancorp, Inc. - Common Stock",1.3700000047683716
278,CASI,"CASI Pharmaceuticals, Inc. - Ordinary Shares",1.940000057220459
279,CASK,"Heritage Distilling Holding Company, Inc. - Common Stock",0.5099999904632568
280,CBAT,"CBAK Energy Technology, Inc. - Common Stock",0.8700000047683716
281,CBUS,"Cibus, Inc. - Class A Common Stock",2.819999933242798
282,CCCC,"C4 Therapeutics, Inc. - Common Stock",1.3799999952316284
283,CCG,Cheche Group Inc. - Class A Ordinary Shares,0.8289999961853027
284,CCGWW,Cheche Group Inc. - Warrant,0.029999999329447746
285,CCIRW,Cohen Circle Acquisition Corp. I - Warrant,2.3299999237060547
286,CCIXW,Churchill Capital Corp IX - Warrant,1.1999000310897827
287,CCLD,"CareCloud, Inc. - Common Stock",2.0999999046325684
288,CCTG,CCSC Technology International Holdings Limited - Class A Ordinary Shares,1.2200000286102295
289,CDIO,Cardio Diagnostics Holdings Inc. - Common stock,3.8399999141693115
290,CDIOW,Cardio Diagnostics Holdings Inc. - Warrant,0.014499999582767487
291,CDLX,"Cardlytics, Inc. - Common Stock",2.059999942779541
292,CDT,Conduit Pharmaceuticals Inc.  - Common Stock,0.38999998569488525
293,CDTG,CDT Environmental Technology Investment Holdings Limited - ordinary shares,0.656000018119812
294,CDTTW,Conduit Pharmaceuticals Inc.  - Warrant,0.008799999952316284
295,CDXS,"Codexis, Inc. - Common Stock",2.4700000286102295
296,CDZI,"Cadiz, Inc. - Common Stock",2.9100000858306885
297,CELU,Celularity Inc. - Class A Common Stock,2.0399999618530273
298,CELZ,"Creative Medical Technology Holdings, Inc. - Common Stock",2.0199999809265137
299,CENN,Cenntro Inc. - Common Stock,1.0
300,CERO,"CERo Therapeutics Holdings, Inc. - Common Stock",0.5849999785423279
301,CEROW,"CERo Therapeutics Holdings, Inc. - Warrants",0.01510000042617321
302,CERS,Cerus Corporation - Common Stock,1.3300000429153442
303,CETX,Cemtrex Inc. - Common Stock,2.430000066757202
304,CETY,"Clean Energy Technologies, Inc. - Common Stock",0.3930000066757202
305,CGBS,Crown LNG Holdings Limited - Ordinary Shares,0.0689999982714653
306,CGBSW,Crown LNG Holdings Limited - Warrants,0.032499998807907104
